544 1575470175 1,317510 0,200000 1,317510 1,317510 0,347167
568 1575470175 3,392262 0,200000 3,392262 3,392262 2,301488
541 1575470175 0,071823 0,200000 0,071823 0,071823 0,001032
541 1575470176 0,071823 0,200000 0,071823 0,071823 0,001032
544 1575470176 1,317510 0,200000 1,317510 1,317510 0,347167
568 1575470176 3,392262 0,200000 3,392262 3,392262 2,301488
544 1575470177 1,317510 0,200000 1,317510 1,317510 0,347167
568 1575470177 3,392262 0,200000 3,392262 3,392262 2,301488
541 1575470177 0,071823 0,200000 0,071823 0,071823 0,001032
544 1575470178 1,317510 0,200000 1,317510 1,317510 0,347167
568 1575470178 3,392262 0,200000 3,392262 3,392262 2,301488
541 1575470178 0,071823 0,200000 0,071823 0,071823 0,001032
544 1575470179 1,317510 0,200000 1,317510 1,317510 0,347167
568 1575470179 3,392262 0,200000 3,392262 3,392262 2,301488
541 1575470179 0,071823 0,200000 0,071823 0,071823 0,001032
559 1575470180 0,190261 0,400000 0,187992 0,192529 0,014482
565 1575470180 0,047244 0,400000 0,047106 0,047383 0,000893
562 1575470180 0,341383 0,400000 0,319995 0,362771 0,046800
574 1575470180 2,365685 0,200000 2,365685 2,365685 1,119293
544 1575470180 4,392987 0,200000 4,392987 4,392987 3,859667
553 1575470180 0,196135 0,400000 0,193536 0,198733 0,015390
556 1575470180 0,383057 0,400000 0,198812 0,567301 0,072271
571 1575470180 0,048001 0,400000 0,047784 0,048218 0,000922
559 1575470181 0,190261 0,400000 0,187992 0,192529 0,014482
565 1575470181 0,047244 0,400000 0,047106 0,047383 0,000893
562 1575470181 0,341383 0,400000 0,319995 0,362771 0,046800
574 1575470181 2,365685 0,200000 2,365685 2,365685 1,119293
544 1575470181 4,392987 0,200000 4,392987 4,392987 3,859667
553 1575470181 0,196135 0,400000 0,193536 0,198733 0,015390
556 1575470181 0,383057 0,400000 0,198812 0,567301 0,072271
571 1575470181 0,048001 0,400000 0,047784 0,048218 0,000922
559 1575470182 0,190261 0,400000 0,187992 0,192529 0,014482
565 1575470182 0,047244 0,400000 0,047106 0,047383 0,000893
562 1575470182 0,341383 0,400000 0,319995 0,362771 0,046800
574 1575470182 2,365685 0,200000 2,365685 2,365685 1,119293
544 1575470182 4,392987 0,200000 4,392987 4,392987 3,859667
553 1575470182 0,196135 0,400000 0,193536 0,198733 0,015390
556 1575470182 0,383057 0,400000 0,198812 0,567301 0,072271
571 1575470182 0,048001 0,400000 0,047784 0,048218 0,000922
559 1575470183 0,190261 0,400000 0,187992 0,192529 0,014482
565 1575470183 0,047244 0,400000 0,047106 0,047383 0,000893
562 1575470183 0,341383 0,400000 0,319995 0,362771 0,046800
574 1575470183 2,365685 0,200000 2,365685 2,365685 1,119293
544 1575470183 4,392987 0,200000 4,392987 4,392987 3,859667
553 1575470183 0,196135 0,400000 0,193536 0,198733 0,015390
556 1575470183 0,383057 0,400000 0,198812 0,567301 0,072271
571 1575470183 0,048001 0,400000 0,047784 0,048218 0,000922
