579 1575470180 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470181 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470182 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470183 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470184 0,600000 -1,000000 -101,000000 0,000000 0,000000
576 1575470180 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470181 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470182 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470183 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470184 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470190 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470191 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470192 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470193 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470194 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470200 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470201 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470202 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470203 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470204 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470210 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470211 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470212 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470213 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470214 1,800000 -1,000000 -101,000000 0,000000 0,000000
576 1575470220 1,600000 -1,000000 -101,000000 0,000000 0,000000
576 1575470221 1,600000 -1,000000 -101,000000 0,000000 0,000000
576 1575470222 1,600000 -1,000000 -101,000000 0,000000 0,000000
576 1575470223 1,600000 -1,000000 -101,000000 0,000000 0,000000
576 1575470224 1,600000 -1,000000 -101,000000 0,000000 0,000000
576 1575470225 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470226 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470227 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470228 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470229 0,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470190 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470191 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470192 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470193 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470194 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470200 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470201 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470202 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470203 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470204 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470210 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470211 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470212 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470213 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470214 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470220 0,400000 -1,000000 -101,000000 0,000000 0,000000
579 1575470221 0,400000 -1,000000 -101,000000 0,000000 0,000000
579 1575470222 0,400000 -1,000000 -101,000000 0,000000 0,000000
579 1575470223 0,400000 -1,000000 -101,000000 0,000000 0,000000
579 1575470224 0,400000 -1,000000 -101,000000 0,000000 0,000000
579 1575470225 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470226 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470227 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470228 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470229 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470240 0,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470241 0,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470242 0,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470243 0,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470244 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470420 1,600000 -1,000000 -101,000000 0,000000 0,000000
576 1575470421 1,600000 -1,000000 -101,000000 0,000000 0,000000
576 1575470422 1,600000 -1,000000 -101,000000 0,000000 0,000000
576 1575470423 1,600000 -1,000000 -101,000000 0,000000 0,000000
576 1575470424 1,600000 -1,000000 -101,000000 0,000000 0,000000
576 1575470430 1,400000 -1,000000 -101,000000 0,000000 0,000000
576 1575470431 1,400000 -1,000000 -101,000000 0,000000 0,000000
576 1575470432 1,400000 -1,000000 -101,000000 0,000000 0,000000
576 1575470433 1,400000 -1,000000 -101,000000 0,000000 0,000000
576 1575470434 1,400000 -1,000000 -101,000000 0,000000 0,000000
576 1575470440 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470441 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470442 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470443 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470444 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470450 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470451 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470452 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470453 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470454 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470460 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470461 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470462 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470463 0,200000 -1,000000 -101,000000 0,000000 0,000000
576 1575470464 0,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470420 1,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470421 1,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470422 1,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470423 1,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470424 1,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470430 1,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470431 1,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470432 1,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470433 1,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470434 1,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470440 1,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470441 1,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470442 1,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470443 1,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470444 1,200000 -1,000000 -101,000000 0,000000 0,000000
579 1575470450 1,000000 -1,000000 -101,000000 0,000000 0,000000
579 1575470451 1,000000 -1,000000 -101,000000 0,000000 0,000000
579 1575470452 1,000000 -1,000000 -101,000000 0,000000 0,000000
579 1575470453 1,000000 -1,000000 -101,000000 0,000000 0,000000
579 1575470454 1,000000 -1,000000 -101,000000 0,000000 0,000000
579 1575470460 1,000000 -1,000000 -101,000000 0,000000 0,000000
579 1575470461 1,000000 -1,000000 -101,000000 0,000000 0,000000
579 1575470462 1,000000 -1,000000 -101,000000 0,000000 0,000000
579 1575470463 1,000000 -1,000000 -101,000000 0,000000 0,000000
579 1575470464 1,000000 -1,000000 -101,000000 0,000000 0,000000
576 1575470550 0,400000 -1,000000 -101,000000 0,000000 0,000000
